matrl_id,host_nums,type,month
253,6021.0,02,201909
744,1665.0,01,201909
41,374.0,07,201909
593,162.0,07,201909
131,77.0,33,201909
892,65.0,10,201909
304,12.0,35,201909
541,5.0,36,201909
866,1.0,36,201909
785,30.0,33,201909
886,15.0,33,201909
511,7.0,07,201909
171,1.0,33,201909
335,0.0,02,201909
352,0.0,A7,201909
853,2.0,09,201909
992,3429.0,05,201808
129,4004.0,05,201808
764,5195.0,01,201808
582,9685.0,03,201808
884,40062.0,04,201808
17,32.0,08,201808
160,32.0,08,201808
224,118.0,07,201808
236,421.0,07,201808
902,229.0,07,201808
717,67.0,33,201808
205,82.0,33,201808
532,21.0,35,201808
1153,30.0,10,201808
567,69.0,10,201808
546,2.0,A7,201808
162,0.0,07,201808
83,20.0,33,201808
934,0.0,02,201808
913,2.0,09,201808
464,2.0,35,201808
234,3.0,33,201808
1062,6505.0,02,201806
519,635.0,02,201806
919,6143.0,02,201806
919,404.0,05,201806
639,3274.0,05,201806
410,20416.0,01,201806
1116,20426.0,01,201806
799,8110.0,01,201806
213,1962.0,01,201806
390,794.0,01,201806
26,10102.0,03,201806
450,2124.0,03,201806
480,40890.0,04,201806
169,12.0,07,201806
570,74.0,33,201806
599,75.0,33,201806
829,19.0,33,201806
569,35.0,10,201806
171,57.0,10,201806
1127,32.0,08,201806
157,4.0,07,201806
925,2.0,08,201806
640,4.0,33,201806
1052,3.0,36,201806
1119,2.0,09,201806
61,4566.0,05,201908
898,57.0,05,201908
17,17636.0,01,201908
717,15112.0,01,201908
383,3756.0,03,201908
814,44.0,10,201908
630,66.0,07,201908
1014,28.0,35,201908
613,8.0,A7,201908
283,4.0,02,201908
898,3.0,19,201908
361,2.0,09,201908
610,3457.0,05,201812
876,361.0,05,201812
228,21032.0,01,201812
883,17857.0,01,201812
1051,3655.0,03,201812
637,425.0,07,201812
833,62.0,07,201812
1198,62.0,07,201812
1013,31.0,10,201812
1049,31.0,10,201812
136,65.0,10,201812
15,32.0,34,201812
304,3.0,A7,201812
1165,25.0,35,201812
1154,25.0,35,201812
787,6.0,33,201812
327,17.0,33,201812
671,3.0,36,201812
509,3.0,36,201812
390,0.0,33,201812
887,2611.0,02,201801
303,19761.0,01,201801
411,4453.0,01,201801
363,265.0,01,201801
227,9695.0,03,201801
116,2226.0,01,201801
541,17.0,35,201801
441,38.0,33,201801
1078,40.0,33,201801
269,40.0,33,201801
796,42.0,10,201801
1030,51.0,01,201801
181,114.0,07,201801
925,0.0,A7,201801
602,5.0,34,201801
919,1.0,36,201801
127,5023.0,02,201904
205,45768.0,04,201904
699,78.0,34,201904
210,2025.0,01,201904
492,29.0,35,201904
896,388.0,07,201904
941,233.0,07,201904
438,430.0,07,201904
437,430.0,07,201904
228,430.0,07,201904
37,250.0,02,201904
155,44.0,08,201904
613,100.0,33,201904
1102,99.0,33,201904
509,30.0,32,201904
1037,1.0,36,201904
1019,1.0,32,201904
1153,2.0,35,201904
227,2.0,09,201904
476,1.0,35,201904
1111,8304.0,01,202005
244,5493.0,02,202005
297,2099.0,05,202005
1033,111.0,34,202005
730,17.0,A7,202005
828,42.0,33,202005
46,390.0,07,202005
52,443.0,07,202005
754,210.0,07,202005
933,74.0,07,202005
892,65.0,10,202005
943,37.0,33,202005
1027,24.0,33,202005
1113,29.0,35,202005
917,2.0,10,202005
919,6646.0,02,202006
881,399.0,05,202006
265,18454.0,01,202006
789,8430.0,01,202006
1052,12759.0,03,202006
561,13486.0,03,202006
493,2162.0,04,202006
864,444.0,07,202006
458,259.0,07,202006
380,357.0,08,202006
42,70.0,10,202006
1063,70.0,10,202006
493,70.0,10,202006
352,24.0,33,202006
101,102.0,33,202006
779,107.0,33,202006
664,21.0,32,202006
390,12.0,07,202006
1027,1.0,A7,202006
851,1.0,33,202006
965,1.0,33,202006
1148,1.0,33,202006
270,6239.0,02,201907
187,5101.0,02,201907
848,330.0,08,201907
319,3946.0,05,201907
26,22760.0,01,201907
236,11638.0,03,201907
569,3669.0,03,201907
979,2115.0,01,201907
205,29.0,35,201907
217,94.0,07,201907
223,124.0,07,201907
447,135.0,07,201907
437,51.0,10,201907
872,0.0,A7,201907
61,5.0,36,201907
682,4.0,36,201907
582,1.0,36,201907
819,6582.0,02,201806
776,2248.0,03,201806
1118,2130.0,03,201806
276,41660.0,04,201806
727,419.0,07,201806
