matrl_id,sale_nums,sale_time
794,1.0,20180104
794,2.0,20180106
794,2.0,20180119
794,2.0,20180124
794,4.0,20180126
794,2.0,20180127
794,2.0,20180129
794,2.0,20180228
794,1.0,20180304
794,2.0,20180306
794,2.0,20180309
794,4.0,20180313
794,2.0,20180319
794,1.0,20180320
794,2.0,20180326
794,1.0,20180329
794,1.0,20180407
794,4.0,20180408
794,3.0,20180410
794,2.0,20180413
794,2.0,20180417
794,1.0,20180422
794,2.0,20180424
794,2.0,20180426
794,1.0,20180505
794,4.0,20180518
794,8.0,20180522
794,4.0,20180523
794,2.0,20180524
794,4.0,20180525
794,2.0,20180528
794,1.0,20180529
794,10.0,20180613
794,1.0,20180619
794,2.0,20180625
794,2.0,20180711
794,2.0,20180730
794,3.0,20180803
794,2.0,20180810
794,1.0,20180818
794,2.0,20180824
794,1.0,20180924
794,2.0,20180926
794,2.0,20181015
794,1.0,20181018
794,3.0,20181029
794,2.0,20181103
794,3.0,20181115
794,3.0,20181122
794,1.0,20181205
794,4.0,20181211
794,1.0,20190124
794,2.0,20190125
794,4.0,20190220
794,1.0,20190319
794,2.0,20190419
794,1.0,20190511
794,2.0,20190514
794,1.0,20190527
794,4.0,20190530
794,2.0,20190622
794,2.0,20190630
794,4.0,20190702
794,2.0,20190709
794,2.0,20190711
794,4.0,20190715
794,2.0,20190719
794,2.0,20190724
794,1.0,20190725
794,4.0,20190810
794,2.0,20190812
794,2.0,20190814
794,1.0,20190816
794,1.0,20190817
794,4.0,20190904
794,2.0,20190905
794,2.0,20190912
794,2.0,20190929
794,1.0,20191028
794,2.0,20191102
794,2.0,20191209
794,2.0,20191212
794,2.0,20191227
794,2.0,20191231
794,2.0,20200117
794,2.0,20200306
794,1.0,20200311
794,2.0,20200330
794,2.0,20200409
794,8.0,20200423
794,2.0,20200522
794,1.0,20200531
794,10.0,20200609
794,1.0,20200623
77,10.0,20190513
77,4.0,20190518
77,2.0,20190528
77,4.0,20190530
77,9.0,20190606
77,2.0,20190612
77,2.0,20190624
77,2.0,20190630
77,2.0,20190701
77,4.0,20190702
77,2.0,20190712
77,1.0,20190716
77,2.0,20190718
77,4.0,20190807
77,3.0,20190810
77,4.0,20190819
77,3.0,20190821
77,1.0,20190824
77,5.0,20190830
77,2.0,20190902
77,5.0,20190903
77,1.0,20190909
77,2.0,20190914
77,1.0,20190929
77,1.0,20191005
77,4.0,20191015
77,1.0,20191021
77,2.0,20191201
77,10.0,20191206
77,2.0,20191220
77,4.0,20191228
77,1.0,20191229
77,2.0,20200224
77,1.0,20200228
77,2.0,20200304
77,2.0,20200311
77,4.0,20200323
77,4.0,20200328
77,2.0,20200330
77,2.0,20200417
77,2.0,20200422
77,2.0,20200504
77,4.0,20200508
77,2.0,20200510
77,10.0,20200511
77,2.0,20200519
77,2.0,20200523
77,1.0,20200525
77,1.0,20200529
77,1.0,20200530
77,4.0,20200601
77,1.0,20200602
77,8.0,20200603
77,1.0,20200604
77,1.0,20200606
77,1.0,20200612
77,1.0,20200615
77,1.0,20200627
769,1.0,20180124
769,6.0,20180309
769,2.0,20180320
769,4.0,20180321
769,10.0,20180324
769,6.0,20180402
769,7.0,20180404
769,4.0,20180410
769,1.0,20180412
769,1.0,20180426
769,3.0,20180502
769,1.0,20180504
769,2.0,20180507
769,1.0,20180510
769,7.0,20180517
769,2.0,20180518
769,1.0,20180521
769,3.0,20180523
769,1.0,20180526
769,1.0,20180529
769,1.0,20180607
769,2.0,20180614
769,3.0,20180615
769,8.0,20180726
769,4.0,20180728
769,3.0,20180805
769,4.0,20180820
769,2.0,20180830
769,2.0,20180831
769,3.0,20180903
769,1.0,20180915
769,3.0,20180927
769,3.0,20181010
769,7.0,20181011
769,1.0,20181021
769,14.0,20181030
769,1.0,20181103
769,5.0,20181123
769,1.0,20181213
769,3.0,20181214
769,3.0,20181224
769,1.0,20190106
769,6.0,20190315
769,1.0,20190318
769,3.0,20190328
769,2.0,20190522
769,5.0,20190529
769,1.0,20190610
769,2.0,20190615
769,5.0,20190618
769,2.0,20190621
769,2.0,20190704
769,2.0,20190710
769,5.0,20190719
769,1.0,20190722
769,1.0,20190822
769,2.0,20190922
769,2.0,20190924
769,2.0,20191103
769,4.0,20191115
769,2.0,20191220
769,3.0,20200115
769,2.0,20200219
769,10.0,20200225
769,3.0,20200303
769,7.0,20200318
769,2.0,20200320
769,1.0,20200324
769,5.0,20200329
769,5.0,20200330
769,1.0,20200415
769,1.0,20200506
769,3.0,20200515
769,2.0,20200611
769,1.0,20200624
27,1.0,20180205
27,2.0,20180223
27,3.0,20180321
27,3.0,20180331
27,1.0,20180404
27,1.0,20180410
27,1.0,20180426
27,1.0,20180507
27,1.0,20180528
27,1.0,20180607
27,4.0,20180717
27,1.0,20180725
27,6.0,20180726
27,1.0,20180728
27,3.0,20180730
27,3.0,20180827
27,1.0,20180831
27,2.0,20180918
27,2.0,20181116
27,1.0,20181214
27,3.0,20190306
27,2.0,20190328
27,1.0,20190422
27,4.0,20190527
27,10.0,20190610
27,1.0,20190830
27,1.0,20191029
27,1.0,20191212
27,2.0,20191220
27,2.0,20200313
27,1.0,20200315
27,2.0,20200317
27,1.0,20200324
27,3.0,20200402
27,3.0,20200403
27,3.0,20200408
27,1.0,20200513
27,3.0,20200531
27,2.0,20200602
188,6.0,20180118
188,2.0,20180121
188,2.0,20180130
188,1.0,20180202
188,2.0,20180223
188,4.0,20180309
188,2.0,20180401
188,2.0,20180402
188,10.0,20180409
188,2.0,20180412
188,2.0,20180413
188,2.0,20180417
188,4.0,20180420
188,1.0,20180422
188,2.0,20180518
188,10.0,20180523
188,2.0,20180605
188,2.0,20180606
188,1.0,20180613
188,2.0,20180624
